Ticker,RMSE,MAE,MAPE (%),Correlation,Hit Ratio
ADANIENT.NS,1.2187445737832543,0.8593810810810809,31.88228175504872,0.8153851445394129,0.45454545454545453
ADANIPORTS.NS,0.9578217464737465,0.6951045045045045,28.139505490564005,0.8425323567934329,0.4090909090909091
APOLLOHOSP.NS,0.36319319059378535,0.309018018018018,21.051344561975018,0.4957894952642618,0.5545454545454546
ASIANPAINT.NS,0.1747936716750857,0.14362792792792792,15.355988589341166,0.3223762365445487,0.5
AXISBANK.NS,0.2171732091966981,0.18447117117117115,16.261623269706043,0.45287823204444017,0.44545454545454544
BAJAJ-AUTO.NS,0.32725486527605185,0.26744324324324326,18.776668724120164,0.6129054574594663,0.5181818181818182
BAJAJFINSV.NS,0.26302910331214147,0.20902342342342345,18.096100529310988,0.27459994565835893,0.4727272727272727
BAJFINANCE.NS,0.2436929527606927,0.1994423423423423,15.006545770249707,0.5098596789064594,0.5545454545454546
BHARTIARTL.NS,0.14247227263039103,0.11488108108108107,12.663176189767178,0.36153463809054953,0.45454545454545453
BPCL.NS,0.35397100914526225,0.283645045045045,17.312104145382573,0.6001286798307401,0.5
BRITANNIA.NS,0.14036193947810086,0.1010072072072072,10.363607411309342,0.7741498344448481,0.5272727272727272
CIPLA.NS,0.5918966306301728,0.47397567567567567,26.57075534317083,0.8841829230835411,0.5909090909090909
COALINDIA.NS,0.6474533706122141,0.5663882882882881,31.793482534942953,0.41867555257199474,0.5636363636363636
DIVISLAB.NS,0.27545010633702993,0.2381063063063063,17.74632391623854,0.6105439175668398,0.4909090909090909
DRREDDY.NS,0.20230043553145458,0.16489639639639636,13.311410408422875,0.6641742366466669,0.5363636363636364
EICHERMOT.NS,0.4306888926501962,0.3006207207207207,17.133047017085946,0.8101510384706153,0.5363636363636364
GRASIM.NS,0.35281201806357176,0.29211261261261257,31.78084725742097,0.3546249997049089,0.5636363636363636
HCLTECH.NS,0.17042538828758164,0.13114594594594597,10.358824816019402,0.7985760349822943,0.509090909090909
HDFCBANK.NS,0.23487460350018557,0.21686216216216217,25.37991864373294,0.6376643857899411,0.5272727272727272
HDFCLIFE.NS,0.2209149520427172,0.15485045045045046,11.268043806426528,0.8795440401147324,0.5
HEROMOTOCO.NS,0.4015945776212308,0.35922792792792785,21.764461079546848,0.6668849115977694,0.5181818181818182
HINDALCO.NS,0.2995512478526673,0.2535963963963964,16.0253385319396,-0.059739771812714115,0.4818181818181818
HINDUNILVR.NS,0.14662541106906118,0.12977117117117118,16.377694701778104,0.7651928977025063,0.5
ICICIBANK.NS,0.3612760108781595,0.33795855855855855,40.440457741239996,0.8046379125483583,0.5181818181818182
INFY.NS,0.4254774374979474,0.2707648648648649,16.525524924540242,0.8667519899977371,0.509090909090909
ITC.NS,0.18534443441703172,0.15171801801801807,15.463761363783046,0.7093194901376354,0.5363636363636364
JSWSTEEL.NS,0.2075999824246204,0.15934864864864867,13.705552307029546,-0.014841747579834058,0.4727272727272727
KOTAKBANK.NS,0.20831837099423972,0.17718288288288286,21.5918833627725,0.742667039003888,0.5727272727272728
LT.NS,0.16651371423107175,0.13912342342342343,12.309896630947048,0.598406197961769,0.5636363636363636
LTIM.NS,0.3680432514731861,0.29434594594594593,19.332066627192983,0.8072491388985154,0.5
M&M.NS,0.3358681232511002,0.2582684684684685,15.376690843514845,0.49263085047991434,0.5636363636363636
MARUTI.NS,0.3165620588717434,0.2474432432432432,33.636252690451734,0.10834205225839638,0.5363636363636364
NESTLEIND.NS,0.21367764535890532,0.17097027027027023,17.181214296504624,0.7351786999137243,0.5181818181818182
NTPC.NS,0.3247213902120728,0.26938378378378375,16.27195999910822,0.7801752939525126,0.5545454545454546
ONGC.NS,0.17052748820713406,0.13833603603603603,10.394894029198449,0.6484495975795184,0.5272727272727272
POWERGRID.NS,0.46221752688767886,0.3833315315315315,23.495151298468752,0.8165732534268586,0.5909090909090909
RELIANCE.NS,0.2875872152867655,0.25059009009009015,28.263178311071723,0.41603546036771333,0.5727272727272728
SBILIFE.NS,0.2790852123738658,0.2292441441441441,18.86018941817452,0.1730382758599464,0.5272727272727272
SBIN.NS,0.156304255156986,0.13221261261261263,11.82991652779898,0.7842045219482774,0.509090909090909
SUNPHARMA.NS,0.228864804302996,0.1830027027027027,21.363110432906186,0.3424349520182663,0.509090909090909
TATACONSUM.NS,0.2912658443279474,0.22205945945945946,24.947246274486446,-0.13015546220941446,0.4818181818181818
TATAMOTORS.NS,0.20458175858552477,0.18299909909909906,14.100602679794246,0.38743903715572725,0.4636363636363636
TATASTEEL.NS,0.25918618460151055,0.21571801801801802,18.732614619252548,0.047953431750429765,0.4636363636363636
TCS.NS,0.1460913496153432,0.12084234234234235,11.254485521787688,0.9144856067398719,0.4636363636363636
TECHM.NS,0.27920633414560464,0.22943153153153156,15.194819997876952,0.7233182683907002,0.45454545454545453
TITAN.NS,0.1671407458369111,0.13038468468468464,13.123565560801447,0.3585992796491087,0.4636363636363636
ULTRACEMCO.NS,0.17641246585235437,0.14631801801801797,13.823366313616841,0.630213202356897,0.5636363636363636
UPL.NS,0.22716240866373535,0.18805855855855858,14.832254075428397,0.25271995572605915,0.44545454545454544
WIPRO.NS,0.1870863148100074,0.15038558558558557,11.724075938030957,0.6861468116100661,0.509090909090909
